Port,Reference,Port(s),Protocol,Service,Details,Source
6767,https://www.speedguide.net/port.php?port=6767,6767,tcp,trojan,"KiLo, Pasana, UandMe",Trojans
6767,https://www.speedguide.net/port.php?port=6767,6767,udp,trojan,"KiLo, UandMe",Trojans
6767,https://www.speedguide.net/port.php?port=6767,6767,tcp,UandMe,[trojan] UandMe,SANS
6767,https://www.speedguide.net/port.php?port=6767,6767,"tcp,udp",bmc-perf-agent,BMC PERFORM AGENT,IANA
6766,https://www.speedguide.net/port.php?port=6766,6766,"tcp,udp",trojan,KiLo [Symantec-2003-021319-1815-99] trojan,SG
6766,https://www.speedguide.net/port.php?port=6766,6766,"tcp,udp",trojan,KiLo,Trojans
6766,https://www.speedguide.net/port.php?port=6766,6717-6766,"tcp,udp",,Unassigned,IANA
6754,https://www.speedguide.net/port.php?port=6754,6754,"tcp,udp",trojans,"Backdoor.Mapsy [Symantec-2002-120615-0547-99] (a.k.a. BackDoor-AMI, 2002.12.06) - a backdoor trojan that gives an attacker unauthorized access to an infected computer",SG
6754,https://www.speedguide.net/port.php?port=6754,6754,"tcp,udp",threat,Mapsy,Bekkoame
6754,https://www.speedguide.net/port.php?port=6754,6717-6766,"tcp,udp",,Unassigned,IANA
6751,https://www.speedguide.net/port.php?port=6751,6751,tcp,malware,"Backdoor.Win32.Mazben.es / Unauthenticated Open Proxy - the malware listens on random TCP ports, known 2608, 6751, 3087, 5947. Third-party attackers who can connect to the infected system can relay requests from the original connection to the destination and then back to the origination system. Attackers may then be able to launch attacks, download files or port scan third party systems and it will appear as the attacks originated from that infected host.

References: [MVID-2021-0377]",SG
6751,https://www.speedguide.net/port.php?port=6751,6717-6766,"tcp,udp",,Unassigned,IANA
6723,https://www.speedguide.net/port.php?port=6723,6723,tcp,trojan,Mstream trojan,SG
6723,https://www.speedguide.net/port.php?port=6723,6723,tcp,trojan,[trojan] Mstream,Trojans
6723,https://www.speedguide.net/port.php?port=6723,6723,tcp,Mstream,[trojan] Mstream,SANS
6723,https://www.speedguide.net/port.php?port=6723,6717-6766,"tcp,udp",,Unassigned,IANA
6718,https://www.speedguide.net/port.php?port=6718,6718,tcp,trojans,"Backdoor.KiLo [Symantec-2003-021319-1815-99] - Windows remote access trojan, listens on ports 6711, 6718. May be related to KiLo trojan (ports 50829,61746,61747,61748).",SG
6718,https://www.speedguide.net/port.php?port=6718,6718,tcp,trojan,KiLo,Trojans
6718,https://www.speedguide.net/port.php?port=6718,6718,tcp,threat,Kilo,Bekkoame
6718,https://www.speedguide.net/port.php?port=6718,6717-6766,"tcp,udp",,Unassigned,IANA
6715,https://www.speedguide.net/port.php?port=6715,6715,tcp,trojan,"Backdoor.Kilo [Symantec-2003-021319-1815-99]



Port 6715 (TCP) is AberMUD and derivatives default port



Backdoor.Win32.Kilo.016 / Denial of Service (UDP Datagram) - the malware listens on TCP ports 6712, 6713, 6714, 6715, 7722, 15206, 15207, 16712 and UDP 6666. Attackers who can reach an infected host can send a large payload to UDP port 6666 causing a disruption in service.

References: [MVID-2022-0546]",SG
6715,https://www.speedguide.net/port.php?port=6715,6715,tcp,trojan,KiLo,Trojans
6715,https://www.speedguide.net/port.php?port=6715,6715,"tcp,udp",fibotrader-com,"Fibotrader Communications, registered 2006-01",IANA
6714,https://www.speedguide.net/port.php?port=6714,6714,tcp,trojan,"Backdoor.Kilo [Symantec-2003-021319-1815-99]



Backdoor.Win32.Kilo.016 / Denial of Service (UDP Datagram) - the malware listens on TCP ports 6712, 6713, 6714, 6715, 7722, 15206, 15207, 16712 and UDP 6666. Attackers who can reach an infected host can send a large payload to UDP port 6666 causing a disruption in service.

References: [MVID-2022-0546]",SG
6714,https://www.speedguide.net/port.php?port=6714,6714,tcp,trojan,KiLo,Trojans
6714,https://www.speedguide.net/port.php?port=6714,6714,"tcp,udp",ibprotocol,Internet Backplane Protocol,IANA
6713,https://www.speedguide.net/port.php?port=6713,6713,tcp,trojan,"BackDoor-G [Symantec-2000-121907-4858-99] trojan, SubSeven (Sub7) trojan, KiLo trojan



Backdoor.Win32.Kilo.016 / Denial of Service (UDP Datagram) - the malware listens on TCP ports 6712, 6713, 6714, 6715, 7722, 15206, 15207, 16712 and UDP 6666. Attackers who can reach an infected host can send a large payload to UDP port 6666 causing a disruption in service.

References: [MVID-2022-0546]",SG
6713,https://www.speedguide.net/port.php?port=6713,6713,tcp,trojan,"KiLo, SubSeven",Trojans
6713,https://www.speedguide.net/port.php?port=6713,6713,tcp,SubSeven,[trojan] SubSeven,SANS
6713,https://www.speedguide.net/port.php?port=6713,6707-6713,"tcp,udp",,Unassigned,IANA
6712,https://www.speedguide.net/port.php?port=6712,6712,tcp,trojan,"BackDoor-G [Symantec-2000-121907-4858-99] trojan, SubSeven (Sub7) trojan, KiLo trojan, Funny trojan



Backdoor.Win32.Kilo.016 / Denial of Service (UDP Datagram) - the malware listens on TCP ports 6712, 6713, 6714, 6715, 7722, 15206, 15207, 16712 and UDP 6666. Attackers who can reach an infected host can send a large payload to UDP port 6666 causing a disruption in service.

References: [MVID-2022-0546]",SG
6712,https://www.speedguide.net/port.php?port=6712,6712,tcp,trojan,"Funny trojan, KiLo, Spadeace, SubSeven",Trojans
6712,https://www.speedguide.net/port.php?port=6712,6712,tcp,Funnytrojan,[trojan] Funny trojan,SANS
6712,https://www.speedguide.net/port.php?port=6712,6712,tcp,SubSeven,[trojan] SubSeven,SANS
6712,https://www.speedguide.net/port.php?port=6712,6707-6713,"tcp,udp",,Unassigned,IANA
6711,https://www.speedguide.net/port.php?port=6711,6711,tcp,trojans,"SubSeven/BackDoor-G trojan

VP Killer trojan

Backdoor.KiLo [Symantec-2003-021319-1815-99] - Windows remote access trojan, listens on ports 6711, 6718. May be related to KiLo trojan (ports 50829,61746,61747,61748).



Backdoor.Win32.MiniBlackLash / Remote DoS - MiniBlackLash listens on both TCP port 6711 and UDP port 60000. Sending a large HTTP request string of junk chars to UDP port 60000 will crash this backdoor.

References: [MVID-2021-0060]",SG
6711,https://www.speedguide.net/port.php?port=6711,6711,tcp,trojan,"BackDoor-G, Duddie, KiLo, Little Witch, Netkey, Spadeace, SubSARI, SubSeven , SweetHeart, UandMe, Way, VP Killer",Trojans
6711,https://www.speedguide.net/port.php?port=6711,6711,tcp,BackDoorG,[trojan] BackDoor-G,SANS
6711,https://www.speedguide.net/port.php?port=6711,6711,tcp,BackDoor-G,[trojan] BackDoor-G,SANS
6711,https://www.speedguide.net/port.php?port=6711,6711,tcp,SubSARI,[trojan] SubSARI,SANS
6711,https://www.speedguide.net/port.php?port=6711,6711,tcp,SubSeven,[trojan] SubSeven,SANS
6711,https://www.speedguide.net/port.php?port=6711,6711,tcp,VPKiller,[trojan] VP Killer,SANS
6711,https://www.speedguide.net/port.php?port=6711,6711,tcp,threat,Kilo,Bekkoame
6711,https://www.speedguide.net/port.php?port=6711,6707-6713,"tcp,udp",,Unassigned,IANA
6699,https://www.speedguide.net/port.php?port=6699,6699,tcp,winmx,"Port used by p2p software, such as WinMX, Napster. 



Note: WinMX also uses port 6257/udp.



Trojans using this port: Host Control trojan",SG
6699,https://www.speedguide.net/port.php?port=6699,6699,udp,babel-dtls,IANA registered for: Babel Routing Protocol over DTLS,SG
6699,https://www.speedguide.net/port.php?port=6699,6699,tcp,,WinMX (see also 6257) (unofficial),Wikipedia
6699,https://www.speedguide.net/port.php?port=6699,6699,tcp,napster,Napster Music Sharing Client,SANS
6699,https://www.speedguide.net/port.php?port=6699,6699,tcp,WinMX,WinMX file sharing app,SANS
6699,https://www.speedguide.net/port.php?port=6699,6699,tcp,applications,Napster,Portforward
6699,https://www.speedguide.net/port.php?port=6699,6699,tcp,napster,Napster File (MP3) sharing  software,Nmap
6699,https://www.speedguide.net/port.php?port=6699,6699,tcp,threat,"A program called ""napster"" for exchanging MP3 files defaults to this port.",Bekkoame
6699,https://www.speedguide.net/port.php?port=6699,6698-6699,"tcp,udp",,Unassigned,IANA
6697,https://www.speedguide.net/port.php?port=6697,6697,tcp,trojan,"Backdoor.IRC.Zlulbot [Symantec-2011-062702-2634-99] (2011.06.24) - a trojan that opens a back door on the compromised computer by connecting to the IRC server irc.anonops.li on port 6697.



Force trojan also uses this port



Internet Relay Chat via TLS/SSL (IANA official) [RFC 7194]",SG
6697,https://www.speedguide.net/port.php?port=6697,6697,tcp,,IRC SSL (Secure Internet Relay Chat) - often used (unofficial),Wikipedia
6697,https://www.speedguide.net/port.php?port=6697,6697,tcp,trojan,Force,Trojans
6697,https://www.speedguide.net/port.php?port=6697,6697,"tcp,udp",threat,Feardoor,Bekkoame
6697,https://www.speedguide.net/port.php?port=6697,6697,tcp,ircs-u,"Internet Relay Chat via TLS/SSL [RFC7194] , registered 2014-02-11",IANA
6697,https://www.speedguide.net/port.php?port=6697,6697,udp,,"Reserved, registered 2014-02-11",IANA
6689,https://www.speedguide.net/port.php?port=6689,6689,"tcp,udp",tsa,"Tofino Security Appliance



The web console in CA (formerly Computer Associates) eTrust ITM (Threat Manager) 8.1 allows remote attackers to redirect users to arbitrary web sites via a crafted HTTP URL on port 6689.

References: [CVE-2007-5437], [BID-26013]",SG
6689,https://www.speedguide.net/port.php?port=6689,6689,"tcp,udp",tsa,"Tofino Security Appliance, registered 2009-10-13",IANA
6677,https://www.speedguide.net/port.php?port=6677,6677,tcp,trojans,"W32.Mydoom.BT@mm [Symantec-2005-051416-1428-99] (2005.05.14) - mass-mailing worm with backdoor capabilities, that uses its own SMTP engine. It communicates with an IRC server and listens for remote commands on port 6677/tcp.



An issue was discovered in Thomson Reuters Desktop Extensions 1.9.0.358. An unauthenticated directory traversal and local file inclusion vulnerability in the ThomsonReuters.Desktop.Service.exe and ThomsonReuters.Desktop.exe allows a remote attacker to list or enumerate sensitive contents of files via a \.. to port 6677. Additionally, this could allow for privilege escalation by dumping the affected machine's SAM and SYSTEM database files, as well as remote code execution.

References: [CVE-2019-8385]",SG
6677,https://www.speedguide.net/port.php?port=6677,6674-6677,"tcp,udp",,Unassigned,IANA
6673,https://www.speedguide.net/port.php?port=6673,6673,"tcp,udp",threat,W32.Mytob,Bekkoame
6673,https://www.speedguide.net/port.php?port=6673,6673,tcp,vision-elmd,"""vision_elmd",IANA
6673,https://www.speedguide.net/port.php?port=6673,6673,"tcp,udp",vision_elmd,vision_elmd,IANA
6673,https://www.speedguide.net/port.php?port=6673,6673,udp,vision-elmd,"""vision_elmd",IANA
6671,https://www.speedguide.net/port.php?port=6671,6671,tcp,trojan,Deep Throat trojan,SG
6671,https://www.speedguide.net/port.php?port=6671,6671,tcp,DeepThroat,[trojan] DeepThroat v3.1,SANS
6671,https://www.speedguide.net/port.php?port=6671,6671,"tcp,udp",p4p-portal,"P4P Portal Service, registered 2008-07-28",IANA
6670,https://www.speedguide.net/port.php?port=6670,6670,tcp,vocaltec,"Vocaltec global online directory.



Some trojans also use this port: BackWeb Server, Deep Throat, Foreplay, WinNuke eXtreame.",SG
6670,https://www.speedguide.net/port.php?port=6670,6670,tcp,trojan,"BackWeb Server, Deep Throat , Foreplay , WinNuke eXtreame",Trojans
6670,https://www.speedguide.net/port.php?port=6670,6670,tcp,BackWebServer,[trojan] BackWeb Server,SANS
6670,https://www.speedguide.net/port.php?port=6670,6670,tcp,DeepThroat,[trojan] Deep Throat,SANS
6670,https://www.speedguide.net/port.php?port=6670,6670,tcp,DeepThroat,[trojan] DeepThroat,SANS
6670,https://www.speedguide.net/port.php?port=6670,6670,tcp,Foreplay,[trojan] Foreplay,SANS
6670,https://www.speedguide.net/port.php?port=6670,6670,tcp,WinNukeeXtreame,[trojan] WinNuke eXtreame,SANS
6670,https://www.speedguide.net/port.php?port=6670,6670,tcp,irc,Internet Relay Chat,Nmap
6670,https://www.speedguide.net/port.php?port=6670,6670,"tcp,udp",vocaltec-gold,Vocaltec Global Online Directory,IANA
6669,https://www.speedguide.net/port.php?port=6669,6669,"tcp,udp",irc,"IRC (Internet Relay Chat)



Many trojans/backdoors also use this port: Dark Connection Inside, Dark FTP, Host Control, NetBus worm , ScheduleAgent, SubSeven,  Trinity, WinSatan, Vampire.

Backdoor.IRC.Flood [Symantec-2001-080313-3306-99]

Backdoor.Hacarmy.E [Symantec-2004-101417-2331-99]

W32.Spybot.EAS [Symantec-2004-093016-3632-99] - DDoS and backdoor capabilities, also attempts to steal confidential info. Uses port 6667/tcp.

Backdoor.Sdbot.AC [Symantec-2004-100415-4933-99] - backdoor trojan, uses port 6667/tcp.

Backdoor.Sdbot.AF [Symantec-2004-111811-0117-99] - backdoor trojan, uses port 6667/tcp.

Backdoor.Alnica [Symantec-2004-110315-5443-99] - backdoor trojan, uses port 6667/tcp to connect to IRC, also sends ICQ messages.

Backdoor.Maxload [Symantec-2004-110420-4659-99] - backdoor trojan, affects Linux and Unix computers ! Attempts to connect to IRC servers on port 6667/tcp.

Backdoor.Hacarmy.E [Symantec-2004-101417-2331-99] - backdoor trojan, uses port 6667/tcp.

Backdoor.Hacarmy.F [Symantec-2004-110511-0258-99] - backdoor trojan, connects to IRC servers on port 6667/tcp.

W32.Bofra.A@mm [Symantec-2004-110916-0038-99] - uses ports 1639 and 6667/tcp.

W32.Bofra.E@mm [Symantec-2004-111213-5143-99] - a mass-mailing worm, runs a HTTP server on port 1639/tcp, attempts to connect to IRC servers on port 6667/tcp.

W32.Cissi.W [Symantec-2005-012811-2022-99] - IRC bot worm with backdoor capabilities. Uses port 6667, propagates through network shares.

Backdoor.Lateda.B [Symantec-2005-011714-4950-99] - backdoor trojan with remote access capabilities. Connects to an IRC server on port 6667, opens a backdoor on port 9999/tcp.

W32.Linkbot.M [Symantec-2005-052109-2651-99] - opens a backdoor on port 6667/tcp. Also listens on port 113/tcp.

W32.Zotob.D [Symantec-2005-081609-4733-99] - a worm that opens a backdoor and exploits the MS Plug and Play Buffer Overflow vulnerability (MS Security Bulletin [MS05-039]) on port 445/tcp. Conects to IRC servers to listen for remote commands on port 6667/tcp. Also opens an FTP server on port 1117/tcp.

W32.Zotob.H [Symantec-2005-081717-2017-99] - a worm that opens a backdoor and exploits the MS Plug and Play Buffer Overflow vulnerability ([MS05-039]) on port 445/tcp.  It runs and spreads using all current Windows versions, but only infects Windows 2000. The worm connects to IRC servers and listens for remote commands on port 6667/tcp. It opens port 69/udp to initiate TFTP transfers. It also opens a backdoor on remote compromised computers on port 8563/tcp.",SG
6669,https://www.speedguide.net/port.php?port=6669,6665-6669,tcp,,Internet Relay Chat (official),Wikipedia
6669,https://www.speedguide.net/port.php?port=6669,6669,tcp,trojan,"Host Control, Vampire, Voyager Alpha Force",Trojans
6669,https://www.speedguide.net/port.php?port=6669,6669,tcp,HostControl,[trojan] Host Control,SANS
6669,https://www.speedguide.net/port.php?port=6669,6669,tcp,ircu,IRCU,SANS
6669,https://www.speedguide.net/port.php?port=6669,6669,tcp,Vampire,[trojan] Vampire,SANS
6669,https://www.speedguide.net/port.php?port=6669,"80, 3783, 4321, 6660-6669, 28900, 29900, 2901",tcp,applications,Command and Conquer Red Alert 3,Portforward
6669,https://www.speedguide.net/port.php?port=6669,6669,tcp,irc,Internet Relay Chat,Nmap
6669,https://www.speedguide.net/port.php?port=6669,6665-6669,tcp,ircu,IRCU,IANA
6669,https://www.speedguide.net/port.php?port=6669,6665-6669,udp,,Reserved,IANA
6667,https://www.speedguide.net/port.php?port=6667,6667,"tcp,udp",irc,"IRC (Internet Relay Chat)



Many trojans/backdoors also use this port: Dark Connection Inside, Dark FTP, Host Control, NetBus worm , ScheduleAgent, SubSeven,  Trinity, WinSatan, Vampire, Moses, Maniacrootkit, kaitex, EGO.

Backdoor.IRC.Flood [Symantec-2001-080313-3306-99]

Backdoor.Hacarmy.E [Symantec-2004-101417-2331-99]

W32.Spybot.EAS [Symantec-2004-093016-3632-99] - DDoS and backdoor capabilities, also attempts to steal confidential info. Uses port 6667/tcp.

Backdoor.Sdbot.AC [Symantec-2004-100415-4933-99] - backdoor trojan, uses port 6667/tcp.

Backdoor.Sdbot.AF [Symantec-2004-111811-0117-99] - backdoor trojan, uses port 6667/tcp.

Backdoor.Alnica [Symantec-2004-110315-5443-99] - backdoor trojan, uses port 6667/tcp to connect to IRC, also sends ICQ messages.

Backdoor.Maxload [Symantec-2004-110420-4659-99] - backdoor trojan, affects Linux and Unix computers ! Attempts to connect to IRC servers on port 6667/tcp.

Backdoor.Hacarmy.E [Symantec-2004-101417-2331-99] - backdoor trojan, uses port 6667/tcp.

Backdoor.Hacarmy.F [Symantec-2004-110511-0258-99] - backdoor trojan, connects to IRC servers on port 6667/tcp.

W32.Bofra.A@mm [Symantec-2004-110916-0038-99] - uses ports 1639 and 6667/tcp.

W32.Bofra.E@mm [Symantec-2004-111213-5143-99] - a mass-mailing worm, runs a HTTP server on port 1639/tcp, attempts to connect to IRC servers on port 6667/tcp.

W32.Cissi.W [Symantec-2005-012811-2022-99] - IRC bot worm with backdoor capabilities. Uses port 6667, propagates through network shares.

Backdoor.Lateda.B [Symantec-2005-011714-4950-99] - backdoor trojan with remote access capabilities. Connects to an IRC server on port 6667, opens a backdoor on port 9999/tcp.

W32.Linkbot.M [Symantec-2005-052109-2651-99] - opens a backdoor on port 6667/tcp. Also listens on port 113/tcp.

W32.Zotob.D [Symantec-2005-081609-4733-99] - a worm that opens a backdoor and exploits the MS Plug and Play Buffer Overflow vulnerability (MS Security Bulletin [MS05-039]) on port 445/tcp. Conects to IRC servers to listen for remote commands on port 6667/tcp. Also opens an FTP server on port 1117/tcp.

W32.Zotob.H [Symantec-2005-081717-2017-99] - a worm that opens a backdoor and exploits the MS Plug and Play Buffer Overflow vulnerability ([MS05-039]) on port 445/tcp.  It runs and spreads using all current Windows versions, but only infects Windows 2000. The worm connects to IRC servers and listens for remote commands on port 6667/tcp. It opens port 69/udp to initiate TFTP transfers. It also opens a backdoor on remote compromised computers on port 8563/tcp.



Backdoor.Win32.Adverbot / Remote Stack Corruption - null instruction pointer read stack corruption when connecting to an IRC server Port 6667. The NetControl.File component allows connecting to server to IRC servers to file share or send messages under Menu/connect.

References: [MVID-2021-0003]



Backdoor.Win32.Whisper.b / Remote Stack Corruption - Whisper.b listens on TCP port 113 and connects to port 6667, deletes itself drops executable named rundll32.exe in Windows\System dir. The malware is prone to stack corruption issues when receiving unexpected characters of random sizes.

References: [MVID-2021-0039]",SG
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,trojan,"Acropolis, BlackRat, Dark FTP, Dark IRC, DataSpy Network X, Gunsan, InCommand, Kaitex, KiLo, Laocoon, Net-Devil, Reverse Trojan, ScheduleAgent, SlackBot, SubSeven , Subseven 2.1.4 DefCon 8, Trinity, Y3K RAT, yoyo",Trojans
6667,https://www.speedguide.net/port.php?port=6667,6667,udp,trojan,KiLo,Trojans
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,DarkFTP,[trojan] Dark FTP,SANS
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,EGO,[trojan] EGO,SANS
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,irc,Internet Relay Chat,SANS
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,ircu,IRCU,SANS
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,kaitex,Kaitex Trojan,SANS
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,Maniacrootkit,[trojan] Maniac rootkit,SANS
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,Moses,[trojan] Moses,SANS
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,ScheduleAgent,[trojan] ScheduleAgent,SANS
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,trojans,[trojan] Subseven 2.1.4 DefCon 8,SANS
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,SubSeven,[trojan] SubSeven,SANS
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,TheThing,[trojan] The Thing (modified),SANS
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,Trinity,[trojan] Trinity,SANS
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,WinSatan,[trojan] WinSatan,SANS
6667,https://www.speedguide.net/port.php?port=6667,"2611-2612,6500,6667,27900","tcp,udp",applications,Black and White,Portforward
6667,https://www.speedguide.net/port.php?port=6667,6667,"tcp,udp",applications,Championship Manager 3,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"3783, 6500, 6667, 28900, 29900, 29901",tcp,applications,Civilization III,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"2033, 2056, 3783, 6500, 6667, 28900, 29900, 29001",tcp,applications,Civilization IV,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"806,667,289,102,990,000,000",tcp,applications,Command and Conquer Generals,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"80, 3783, 6500, 6515, 6667, 13139, 27900, 28900, 28910, 29900, 29901, 29920",tcp,applications,Command and Conquer Generals GameSpy,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"806,667,289,102,990,000,000",tcp,applications,Command and Conquer Zero Hour,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"80, 3783, 6500, 6515, 6667, 13139, 27900, 28900, 28910, 29900, 29901, 29920",tcp,applications,Command and Conquer Zero Hour GameSpy,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"2300-2400,6667,47624",tcp,applications,Cossacks II,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"3783, 6500, 6667, 28900, 29900-29901",tcp,applications,F.E.A.R. Gamespy,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"666,728,910",tcp,applications,Faces of War,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"6667, 3783, 27900, 28900, 29900, 29901, 13139, 6515, 6500",tcp,applications,GameSpy Arcade,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"666,718,067","tcp,udp",applications,Hero Online,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"80,6667,21000,40000-42000",tcp,applications,IL2-Sturmovik Ubi.com,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"80,6667,10308,40000-42000",tcp,applications,Lock On Modern Air Combat Ubi.com,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"6667,28800-29000","tcp,udp",applications,MSN Game Zone,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"5120-5300, 6500, 6667, 27900, 28900",udp,applications,Neverwinter Nights,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"80, 6667, 7777-7787, 8777-8787, 40000-42000",udp,applications,Rainbow Six 3 Raven Shield with Ubi.com,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"3783, 6500, 6667, 28900, 29900-29901",tcp,applications,Rome Total War,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"3783, 6515, 6667, 13139, 27900, 28900, 29900, 29901",tcp,applications,S.T.A.L.K.E.R. - Shadow of Chernobyl,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"3783, 6667, 28900, 29900, 29901",tcp,applications,Spellforce - The Order of Dawn,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"30,406,667",tcp,applications,Star Trek - Armada 2,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"1234, 3658-3660, 6500, 27900, 28910, 3783, 6515, 6667, 13139, 28900, 29900-29901, 29920","tcp,udp",applications,Starwars Empire at War,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"6667, 9961, 17475, 27000-30000",tcp,applications,Test Drive Unlimited,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"3783, 6500, 6667, 28900, 29900-29901",tcp,applications,The Lord of the Rings-War of the Ring Gamespy,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"666,728,910",tcp,applications,True Crime Streets of L.A.,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"6667, 28910, 29900, 29901, 29920",tcp,applications,Warhammer 40000 - Dawn of War - Dark Crusade,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"6,667,289,102,990,120,000",tcp,applications,Warhammer 40000 - Dawn of War GotY,Portforward
6667,https://www.speedguide.net/port.php?port=6667,"80, 5911, 6667, 28900, 29900, 29901",tcp,applications,Worms 4 - Mayhem,Portforward
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,irc,Internet Relay Chat,Nmap
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,Alnica,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,Deftcode,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,Hacarmy,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,IRC Clients can connect to servers on this port.,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,IRC.Flood,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,IrcContact,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,Kaiten,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,Lateda,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,Maxload,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,Mindos,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,Sdbot,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,Spigot,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,voip,VocalTec Internet Phone An alternate port other than 6670 used to connect to servers.,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,W32.Blatic,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,W32.Bofra,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,W32.Bropia,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,W32.Cissi,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,W32.HLLW.Gaobot,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,W32.HLLW.Nool,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,W32.HLLW.Studd,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,W32.HLLW.Warpigs,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,W32.Korgo,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,W32.Linkbot,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,W32.Mimail,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,W32.Mota,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,W32.Mydoom,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,W32.Mytob,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,W32.Opasa,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,W32.Protoride,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,W32.Randex,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,W32.Ruland,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,W32.Spybot,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,W32.Stubbot,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,W32.Wallz,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6667,tcp,threat,W32.Zotob,Bekkoame
6667,https://www.speedguide.net/port.php?port=6667,6665-6669,tcp,,Internet Relay Chat (official),Wikipedia
